,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Indicators On Household Income From Work,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Key Indicators On Household Income From Work Among Resident Employed Households, Annual",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2023,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
  6th Decile (Per Cent),2.6,2.5,-1.4,5,2.5,4,3.5,6.2,4.6,3,1.9,2.4,3.5,-2.1,6.2,5.2,2.8,4.3,-2.1,0.6,-2,9.6,na
  7th Decile (Per Cent),2.2,2.3,-2.2,5.6,3.2,3.7,3.8,6.3,4.6,2.6,1.4,2.2,3.3,-3,6.1,6.5,2.6,4.5,-2.2,0.7,-2,11,na
  8th Decile (Per Cent),2.4,1.4,-2,4.6,4,3.8,4.3,5.7,4.6,2.4,1.1,1.8,3.4,-3.4,5.6,6.7,3.5,4.7,-2.7,1.1,-1.8,12,na
  9th Decile (Per Cent),1.1,0.6,-1.8,3.5,4,4.5,3.2,5.8,5.6,1.5,1.6,1,4,-3.2,5.7,6.2,4.6,5,-0.4,1.6,-1.3,13.9,na
  10th Decile (Highest) (Per Cent),-1.3,-1.1,-2.3,0.4,2.3,2.6,0.2,7.2,6.7,-5.2,5.1,3.2,4.8,-2.6,1.1,11,7.4,6.2,1.4,2.5,-1.6,12.4,na
Gini Coefficient Based On Household Income From Work Per Household Member (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes,0.437,0.444,0.452,0.452,0.458,0.459,0.458,0.463,0.464,0.463,0.478,0.473,0.472,0.471,0.474,0.482,0.47,0.465,0.46,0.457,0.454,0.454,0.442
Gini Coefficient Based On Equivalised Household Income From Work (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Modified OECD Scale),0.415,0.42,0.431,0.431,0.435,0.437,0.435,0.44,0.444,0.442,0.457,0.452,0.448,0.449,0.452,0.456,0.446,0.44,0.438,0.434,0.431,0.431,0.417
Gini Coefficient Based On Equivalised Household Income From Work (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Square Root Scale),0.398,0.398,0.415,0.411,0.412,0.417,0.41,0.415,0.425,0.421,0.435,0.434,0.432,0.431,0.438,0.438,0.434,0.43,0.43,0.427,0.424,0.422,0.413
Gini Coefficient Based On Household Income From Work Per Household Member (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes,0.378,0.385,0.375,0.398,0.403,0.402,0.401,0.409,0.411,0.409,0.432,0.423,0.425,0.422,0.424,0.439,0.418,0.422,0.419,0.422,0.414,0.419,0.414
Gini Coefficient Based On Equivalised Household Income From Work (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Modified OECD Scale),0.357,0.362,0.354,0.377,0.38,0.382,0.379,0.386,0.392,0.388,0.41,0.402,0.4,0.399,0.402,0.412,0.392,0.397,0.395,0.397,0.388,0.394,0.386
Gini Coefficient Based On Equivalised Household Income From Work (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Square Root Scale),0.337,0.336,0.335,0.353,0.354,0.357,0.35,0.357,0.369,0.363,0.383,0.38,0.379,0.377,0.384,0.388,0.374,0.38,0.381,0.385,0.377,0.381,0.377
,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,
"Data refer to resident employed households.  A resident employed household refers to a household where the household reference person is a resident (i.e. Singapore citizen or permanent resident), and with at least one employed person.  Household income from work refers to the sum of income received by employed members of the household from employment and business.  However, it does not include the income of domestic workers.  Household income from work includes employer Central Provident Fund (CPF) contributions.  Monthly household income from work includes one-twelfth of annual bonus.  Data on household income from work refers to household income from work before accounting for Government transfers and taxes, unless stated otherwise.  The dollar values are in nominal terms.  More data and analyses on household income from work can be found in the paper 'Key Household Income Trends, 2022'.  The paper can be accessed via the following web-link: www.singstat.gov.sg/find-data/search-by-theme/households/household-income/publications-and-methodology",,,,,,,,,,,,,,,,,,,,,,,
Real Change In Median Monthly Household Income From Work Including Employer CPF Contributions (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,
The Consumer Price Index (CPI) for All Items for the relevant household income group is used as the deflator to compute real income changes.,,,,,,,,,,,,,,,,,,,,,,,
Median Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) (Dollar):,,,,,,,,,,,,,,,,,,,,,,,
"Household income from work per household member refers to the household income from work divided by the total number of members in the household.  For example, if there is one person in a household of four who is employed, his income is divided by four to derive the income per household member.",,,,,,,,,,,,,,,,,,,,,,,
Real Change In Median Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,
The Consumer Price Index (CPI) for All Items for the relevant household income group is used as the deflator to compute real income changes.,,,,,,,,,,,,,,,,,,,,,,,
Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) At 20th Percentile (Dollar):,,,,,,,,,,,,,,,,,,,,,,,
"Household income from work per household member refers to the household income from work divided by the total number of members in the household.  For example, if there is one person in a household of four who is employed, his income is divided by four to derive the income per household member.",,,,,,,,,,,,,,,,,,,,,,,
Real Change In Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) At 20th Percentile (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,
The Consumer Price Index (CPI) for All Items for the relevant household income group is used as the deflator to compute real income changes.,,,,,,,,,,,,,,,,,,,,,,,
Average Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) (Dollar):,,,,,,,,,,,,,,,,,,,,,,,
"Household income from work per household member refers to the household income from work divided by the total number of members in the household.  For example, if there is one person in a household of four who is employed, his income is divided by four to derive the income per household member.  The deciles are derived based on the ranking of resident employed households by their monthly household income from work per household member (including employer CPF contributions).  It is notable, for example, that some resident employed households in the lowest 10% owned a car (14.5%), employed a domestic worker (14.8%), lived in private property (7.1%) or were with household reference persons aged 65 years and over (32.2%) in 2022.  It is also important to recognise that not all households are consistently in the same decile group from one year to the next.  For example, an employed household may move down from a higher decile in a particular year due to the temporary unemployment of a household member, before moving up the deciles when the member resumes employment in the subsequent year.  In comparing the performance of any particular decile group over time, it is therefore relevant to note that the comparison may not pertain to the same group of households.",,,,,,,,,,,,,,,,,,,,,,,
Real Change In Average Monthly Household Income From Work Per Household Member (Including Employer CPF Contributions) (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,
"Household income from work per household member refers to the household income from work divided by the total number of members in the household.  For example, if there is one person in a household of four who is employed, his income is divided by four to derive the income per household member. The Consumer Price Index (CPI) for All Items for the relevant household income group is used as the deflator to compute real income changes. The deciles are derived based on the ranking of resident employed households by their monthly household income from work per household member (including employer CPF contributions).  It is notable, for example, that some resident employed households in the lowest 10% owned a car (14.5%), employed a domestic worker (14.8%), lived in private property (7.1%) or were with household reference persons aged 65 years and over (32.2%) in 2022.  It is also important to recognise that not all households are consistently in the same decile group from one year to the next.  For example, an employed household may move down from a higher decile in a particular year due to the temporary unemployment of a household member, before moving up the deciles when the member resumes employment in the subsequent year.  In comparing the performance of any particular decile group over time, it is therefore relevant to note that the comparison may not pertain to the same group of households.",,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Household Income From Work Per Household Member (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes:,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable. There are different scales used by different countries and international organisations. Household income from work per household member refers to the household income from work divided by the total number of members in the household.  For example, if there is one person in a household of four who is employed, his income is divided by four to derive the income per household member.",,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Equivalised Household Income From Work (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Modified OECD Scale):,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable. There are different scales used by different countries and international organisations.  The modified OECD scale assigns the first adult in the household a weight of 1 point, and each additional adult a weight of 0.5 points and each child a weight of 0.3 points.  Equivalised household income is derived by dividing the total household income by the sum of the points allocated to all the household members.  The modified OECD scale is used by Eurostat, the UK and Australia.",,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Equivalised Household Income From Work (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Square Root Scale):,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same. One major difference is in the equivalence scale adopted. Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable. There are different scales used by different countries and international organisations. Based on the square root scale, individuals are ranked by their household income on a per equivalised member basis, which is derived by dividing household income by the square root of household size. This follows the approach adopted by Organisation of Economic Co-Operation and Development (OECD) in some reports. In following this approach, individuals such as children and domestic workers would also be ranked. It is also noted that some OECD countries publish their own Gini using a different equivalence scale, and not the square root scale.",,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Household Income From Work Per Household Member (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes:,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable.  There are different scales used by different countries and international organisations.  Household income from work per household member refers to the household income from work divided by the total number of members in the household.  For example, if there is one person in a household of four who is employed, his income is divided by four to derive the income per household member.  Data on income after accounting for government transfers and taxes for 2022 are preliminary. Similar to past practices, as more administrative data on Government transfers or taxes become available, the coverage has been expanded to include more types of transfers.",,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Equivalised Household Income From Work (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Modified OECD Scale):,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable.  There are different scales used by different countries and international organisations.  The modified OECD scale assigns the first adult in the household a weight of 1 point, each additional adult a weight of 0.5 points and each child a weight of 0.3 points.  Equivalised household income is derived by dividing the total household income by the sum of the points allocated to all the household members.  The modified OECD scale is used by Eurostat, the UK and Australia. Data on income after accounting for government transfers and taxes for 2022 are preliminary. Similar to past practices, as more administrative data on Government transfers or taxes become available, the coverage has been expanded to include more types of transfers.",,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Equivalised Household Income From Work (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Square Root Scale):,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same. One major difference is in the equivalence scale adopted. Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable. There are different scales used by different countries and international organisations. Based on the square root scale, individuals are ranked by their household income on a per equivalised member basis, which is derived by dividing household income by the square root of household size. This follows the approach adopted by Organisation of Economic Co-Operation and Development (OECD) in some reports. In following this approach, individuals such as children and domestic workers would also be ranked. It is also noted that some OECD countries publish their own Gini using a different equivalence scale, and not the square root scale. Data on income after accounting for government transfers and taxes for 2022 are preliminary. Similar to past practices, as more administrative data on Government transfers or taxes become available, the coverage has been expanded to include more types of transfers.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient:,,,,,,,,,,,,,,,,,,,,,,,
"A summary measure of income inequality. It is equal to zero in the case of total income equality and equal to one in the case of total inequality. The more unequal the income distribution, the larger the value of the Gini coefficient. ",,,,,,,,,,,,,,,,,,,,,,,
Household Income from Work:,,,,,,,,,,,,,,,,,,,,,,,
"Refers to the sum of income received by employed members of the household from employment and business. However, it does not include the income of domestic workers. Monthly household income from work includes one-twelfth of the annual bonus. Data on household income from work refer to household income from work before accounting for Government transfers and taxes, unless stated otherwise. As the income data pertain to income from work, the coverage of households is based on resident employed households. Data on household income are based on the sample of households surveyed in the June Comprehensive Labour Force Surveys conducted by the Ministry of Manpower every year, except for 2000, 2005, 2010 and 2020 which are based on the Censuses of Population and the mid-decade General Household Survey. The income estimates are based on income as reported by survey respondents and augmented with administrative data. Survey estimates are subject to sampling variability.",,,,,,,,,,,,,,,,,,,,,,,
Household Income from Work Per Household Member:,,,,,,,,,,,,,,,,,,,,,,,
"Refers to the household income from work divided by the total number of members in the household. For example, if there is one person in a household of four who is employed, his income is divided by four to derive the income per household   member. This takes into account the different sizes of households in each group and enables analysis of changes in household income, adjusted for changes in household size over time.",,,,,,,,,,,,,,,,,,,,,,,
Modified OECD Scale:,,,,,,,,,,,,,,,,,,,,,,,
"The modified OECD scale assigns the first adult in the household a weight of 1 point, and each additional adult a weight of 0.5 points and each child a weight of 0.3 points. The equivalised household income is derived by dividing the total household income by the sum of the points allocated to the household members. For example, a household comprising 2 adults and 2 children would have a sum total of 2.1 points. If the household has income from work of $4,000, then the equivalised household income would be $1,905 (i.e. $4,000 divided by 2.1). The modified OECD scale is used by Eurostat and countries such as the United Kingdom and Australia.",,,,,,,,,,,,,,,,,,,,,,,
Square Root Scale:,,,,,,,,,,,,,,,,,,,,,,,
"Based on the square root scale, individuals are ranked by their household income on a ‘per equivalised member basis’, which is derived by dividing household income by the square root of household size. For example, based on the square root scale, a household of 4 having income from work of $4,000 would have an equivalised household income of $2,000 (i.e. $4,000 divided by the square root of 4). Individuals such as children and domestic workers would also be ranked. The square root scale is used by Organisation of Economic Co-operation and Development (OECD) in its major reports on inequality. It should be noted that some OECD countries publish their own Gini using a different equivalence scale, and not the square root scale.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 23/03/2023,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,
